userId,productId,rating,timestamp
1151,1,1,2015-10-17
1261,1,1,2015-07-27
4167,1,1,2014-12-25
129,1,1,2014-11-13
385,2,1,2011-06-18
5103,2,1,2011-06-14
3820,2,1,2011-06-13
3501,0,1,2012-12-26
5183,0,1,2014-07-01
7778,2,1,2013-12-29
1725,2,1,2012-11-14
2397,2,1,2012-03-19
8189,2,1,2011-10-19
917,3,1,2017-01-23
1979,3,1,2016-04-18
4012,3,1,2016-01-24
3657,3,1,2015-08-26
7455,3,1,2015-05-05
2973,3,1,2015-01-02
90,3,1,2014-12-24
5714,3,1,2014-09-25
1621,3,1,2014-09-11
8709,3,1,2014-07-24
8072,3,1,2014-07-05
2544,3,1,2014-04-30
786,3,1,2014-04-07
6380,3,1,2014-01-15
1675,3,1,2013-11-29
3008,3,1,2013-11-27
2499,4,1,2010-07-21
213,5,1,2016-05-14
3518,5,1,2016-01-05
3219,5,1,2015-10-12
6786,5,1,2015-07-30
6747,5,1,2015-03-05
4571,5,1,2014-11-27
2401,5,1,2014-03-13
7166,5,1,2011-02-13
1320,6,1,2014-07-27
2708,6,1,2013-10-02
3361,6,1,2013-02-04
1376,7,1,2016-01-07
2767,7,1,2015-05-18
2748,7,1,2014-10-10
1342,8,1,2012-02-22
5454,8,1,2011-12-05
6929,8,1,2014-06-05
1873,9,1,2013-03-18
3414,10,1,2013-04-22
7343,10,1,2013-04-19
133,10,1,2012-04-10
3765,10,1,2012-03-23
3992,10,1,2011-11-25
8074,10,1,2011-10-20
8476,11,1,2009-04-08
3424,11,1,2017-04-17
4497,11,1,2016-05-16
527,11,1,2015-12-13
5500,11,1,2015-10-19
3591,11,1,2015-06-04
2772,11,1,2015-04-15
4408,11,1,2015-04-12
1069,11,1,2015-03-01
8759,11,1,2015-02-16
7976,11,1,2014-12-24
5671,11,1,2014-12-10
1937,11,1,2014-12-03
8382,11,1,2014-10-29
193,11,1,2014-10-22
424,11,1,2014-09-22
1413,11,1,2014-09-13
6066,11,1,2014-08-14
1754,11,1,2014-07-08
7390,11,1,2013-12-26
3510,11,1,2013-12-04
3660,11,1,2013-11-16
7021,11,1,2013-09-16
7717,11,1,2013-07-11
2551,11,1,2013-06-25
6102,11,1,2013-06-19
8827,11,1,2013-05-29
2621,11,1,2013-04-25
2844,11,1,2013-03-20
4167,11,1,2013-02-19
1810,11,1,2013-01-22
8145,11,1,2013-01-21
4908,11,1,2012-11-12
8699,11,1,2012-09-17
4533,11,1,2011-04-06
2937,12,1,2016-12-03
3788,12,1,2014-04-15
3480,12,1,2013-12-27
5921,12,1,2012-12-28
8439,12,1,2011-10-17
3882,14,1,2014-09-23
6580,14,1,2013-12-14
6728,14,1,2013-04-09
3361,14,1,2013-02-04
3238,14,1,2013-02-03
4912,14,1,2012-12-21
8081,14,1,2012-03-20
3690,14,1,2011-04-07
6249,14,1,2011-04-04
8709,13,1,2016-06-29
3934,13,1,2015-09-23
6320,13,1,2015-09-04
3916,13,1,2015-05-18
1295,13,1,2014-07-28
174,13,1,2013-03-14
8718,15,1,2005-03-05
8715,15,1,2001-02-21
3830,24,1,2005-07-08
7011,24,1,2004-07-13
1296,17,1,2004-08-16
338,17,1,2003-02-06
2150,20,1,2014-08-19
5010,20,1,2014-04-09
6530,20,1,2014-02-20
539,20,1,2013-01-16
4912,20,1,2012-10-12
7711,20,1,2009-01-30
4457,20,1,2008-05-04
3514,20,1,2007-08-11
2741,20,1,2006-07-17
8117,20,1,2005-06-09
871,28,1,2009-01-12
3766,28,1,2008-03-17
8130,26,1,2013-02-13
8651,26,1,2012-11-07
7623,26,1,2012-06-09
7711,26,1,2010-01-15
1056,26,1,2004-08-26
3495,16,1,2016-05-27
94,16,1,2015-07-23
290,16,1,2014-06-14
150,16,1,2014-02-01
5582,16,1,2014-01-15
8349,16,1,2003-10-04
2410,16,1,2002-04-16
5254,16,1,2001-12-18
4594,16,1,2001-10-02
3037,27,1,2015-12-23
1226,27,1,2015-02-17
436,27,1,2015-01-18
7688,27,1,2014-09-02
6317,27,1,2014-05-20
2796,27,1,2014-01-19
5710,27,1,2013-09-26
4775,27,1,2010-11-04
7760,27,1,2010-09-13
7711,27,1,2010-01-15
1056,27,1,2004-08-26
3655,27,1,2004-05-06
8298,21,1,2010-08-19
3229,21,1,2003-03-03
5840,34,1,2016-06-06
7726,34,1,2016-01-13
2984,34,1,2015-12-27
3037,34,1,2015-12-23
4541,34,1,2015-03-04
4013,34,1,2014-11-28
4024,34,1,2014-10-16
710,34,1,2014-10-13
5858,34,1,2014-09-12
4454,34,1,2014-06-06
6327,34,1,2014-02-05
6865,34,1,2013-09-24
2352,34,1,2013-07-18
2196,34,1,2011-11-11
3054,34,1,2011-05-20
4855,34,1,2007-08-20
4926,34,1,2004-11-16
297,34,1,2004-01-15
5990,34,1,2002-07-25
3697,34,1,2002-03-15
6258,32,1,2015-02-04
4334,32,1,2015-01-17
6867,32,1,2014-12-22
2814,32,1,2013-10-25
7623,32,1,2013-03-22
5568,32,1,2011-06-02
8718,30,1,2008-12-22
7726,33,1,2016-01-13
3037,33,1,2015-12-23
4541,33,1,2015-03-04
6898,33,1,2014-10-16
5858,33,1,2014-09-12
3262,33,1,2014-09-10
4454,33,1,2014-06-06
2352,33,1,2013-09-05
6634,33,1,2012-12-20
8301,33,1,2010-06-02
1188,33,1,2007-08-22
5990,33,1,2002-07-24
970,31,1,2012-12-16
3655,31,1,2004-06-05
4348,19,1,2006-06-17
338,19,1,2003-12-28
6634,35,1,2012-12-20
7275,36,1,2000-09-09
3600,37,1,2013-06-02
4715,37,1,2006-02-18
410,44,1,2001-02-13
3037,56,1,2015-12-23
2961,52,1,2017-01-22
4338,52,1,2016-07-24
2289,52,1,2016-07-18
8478,56,1,2015-08-04
2598,56,1,2015-04-20
2782,52,1,2015-12-31
3552,52,1,2015-04-20
4541,56,1,2015-02-23
